"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"252"," Verlegen von Zeitschriften","581400","58","5",362,408,12.707182320442,"1"
"253"," Sonstiges Verlagswesen (ohne Software)","581900","58","5",85,112,31.7647058823529,"2"
"254"," Herstellung von Filmen, Videofilmen und Fernsehprogrammen","591100","59","5",197,208,5.58375634517767,"1"
"255"," Nachbearbeitung und sonstige Filmtechnik","591200","59","5",5,4,-20,"-1"
"256"," Filmverleih und -vertrieb (ohne Videotheken)","591300","59","5",7,19,171.428571428571,"2"
"257"," Kinos","591400","59","5",119,95,-20.1680672268908,"-2"
"258"," Tonstudios, Herstellung von Radiobeiträgen, Verlegen von bespielten Tonträgern und Musikalien","592000","59","5",79,79,0,"0"
"259"," Radioveranstalter","601000","60","6",276,381,38.0434782608696,"2"
"260"," Fernsehveranstalter","602000","60","6",112,106,-5.35714285714286,"-1"
"261"," Leitungsgebundene Telekommunikation","611000","61","6",566,531,-6.18374558303887,"-1"
"262"," Drahtlose Telekommunikation","612000","61","6",75,60,-20,"-1"
"263"," Sonstige Telekommunikation","619000","61","6",18,17,-5.55555555555556,"-1"
"264"," Programmierungstätigkeiten","620100","62","6",1153,1540,33.5646140503036,"2"
"265"," Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie","620200","62","6",1240,1326,6.93548387096774,"1"
"266"," Erbringung von sonstigen Dienstleistungen der Informationstechnologie","620900","62","6",81,75,-7.40740740740741,"-1"
"267"," Datenverarbeitung, Hosting und damit verbundene Tätigkeiten","631100","63","6",74,86,16.2162162162162,"1"
"268"," Webportale","631200","63","6",26,83,219.230769230769,"2"
"269"," Korrespondenz- und Nachrichtenbüros","639100","63","6",12,9,-25,"-2"
"270"," Kantonalbanken","641902","64","6",970,1087,12.0618556701031,"1"
"271"," Grossbanken","641903","64","6",1626,907,-44.2189421894219,"-2"
"272"," Regionalbanken und Sparkassen","641904","64","6",33,47,42.4242424242424,"2"
"273"," Raiffeisenbanken","641905","64","6",70,62,-11.4285714285714,"-1"
"274"," Börsenbanken","641907","64","6",517,424,-17.9883945841393,"-1"
"275"," Ausländisch beherrschte Banken","641908","64","6",906,854,-5.73951434878587,"-1"
"276"," Privatbankiers","641910","64","6",135,128,-5.18518518518518,"-1"
